pet_id,issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category
ANSL_69903,2016-07-10 00:00:00,2016-09-21 16:25:00,2.0,Brown Tabby,0.8,7.78,13,9,0.0,1
ANSL_66892,2013-11-21 00:00:00,2018-12-27 17:47:00,1.0,White,0.72,14.19,13,9,0.0,2
ANSL_69750,2014-09-28 00:00:00,2016-10-19 08:24:00,,Brown,0.15,40.9,15,4,2.0,4
ANSL_71623,2016-12-31 00:00:00,2019-01-25 18:30:00,1.0,White,0.62,17.82,0,1,0.0,2
ANSL_57969,2017-09-28 00:00:00,2017-11-19 09:38:00,2.0,Black,0.5,11.06,18,4,0.0,1
ANSL_52200,2017-10-25 00:00:00,2019-03-10 13:18:00,0.0,Red,0.92,29.56,0,7,1.0,2
ANSL_75444,2018-11-06 00:00:00,2019-04-09 16:00:00,2.0,Brown Tabby,0.14,40.24,0,1,0.0,1
ANSL_52759,2018-06-05 00:00:00,2018-09-02 17:04:00,0.0,White,0.15,25.48,7,1,1.0,1
ANSL_74632,2015-10-10 00:00:00,2016-08-04 16:29:00,2.0,Brown,0.05,38.22,13,9,1.0,2
ANSL_56464,2014-02-18 00:00:00,2017-03-17 11:38:00,2.0,Brown,0.55,21.26,13,9,1.0,2
ANSL_69485,2004-11-17 00:00:00,2016-12-15 13:33:00,0.0,Tricolor,0.3,23.06,0,1,1.0,2
ANSL_51014,2017-06-17 00:00:00,2018-02-08 09:00:00,2.0,Brown Tabby,0.44,40.32,16,9,1.0,1
ANSL_76771,2017-02-07 00:00:00,2019-05-10 16:42:00,1.0,Black,0.2,30.78,13,9,0.0,2
ANSL_69252,2016-11-29 00:00:00,2017-05-31 00:00:00,1.0,White,0.45,5.39,13,9,0.0,2
ANSL_58085,2018-01-29 00:00:00,2018-05-02 17:46:00,0.0,Calico,0.48,30.54,0,1,1.0,1
ANSL_63686,2016-07-20 00:00:00,2016-10-10 12:14:00,1.0,Black,0.18,49.05,13,9,0.0,1
ANSL_66127,2016-03-20 00:00:00,2016-11-03 13:55:00,1.0,Red,0.88,49.5,7,1,0.0,2
ANSL_52366,2009-01-06 00:00:00,2019-01-27 11:56:00,1.0,Black,0.93,14.83,0,7,0.0,2
ANSL_55607,2013-11-28 00:00:00,2017-12-28 00:00:00,2.0,Brown Brindle,0.76,38.99,13,9,1.0,2
ANSL_72451,2018-08-23 00:00:00,2018-11-29 11:46:00,0.0,Black,0.96,24.33,0,1,1.0,1
ANSL_66055,2008-01-25 00:00:00,2016-08-15 11:27:00,1.0,Brown Tabby,0.66,36.01,0,1,0.0,1
ANSL_50488,2018-01-07 00:00:00,2018-07-28 12:36:00,,Brown,0.45,14.0,11,4,2.0,4
ANSL_68751,2018-03-14 00:00:00,2018-05-24 17:10:00,0.0,White,0.92,49.5,7,1,1.0,2
ANSL_57387,2014-11-22 00:00:00,2017-04-10 16:55:00,0.0,Blue,0.31,49.04,13,9,1.0,2
ANSL_67782,2012-08-02 00:00:00,2019-01-07 00:00:00,2.0,Black,0.51,45.53,13,9,0.0,2
ANSL_76397,2018-04-11 00:00:00,2019-05-02 14:16:00,1.0,Black,0.8,37.17,0,7,0.0,2
ANSL_59210,2017-12-30 00:00:00,2018-04-25 17:41:00,0.0,Tortie,0.53,35.06,0,1,1.0,1
ANSL_56018,2011-01-25 00:00:00,2017-03-10 12:21:00,1.0,Gray,0.32,48.92,0,7,0.0,2
ANSL_53325,2015-09-01 00:00:00,2016-09-23 18:16:00,1.0,Fawn,0.98,14.02,0,7,0.0,2
ANSL_52456,2010-07-18 00:00:00,2018-02-18 14:46:00,0.0,Tricolor,0.68,22.33,0,7,1.0,2
ANSL_55113,2013-11-29 00:00:00,2016-12-28 16:15:00,1.0,Buff,0.16,27.19,0,1,0.0,2
ANSL_73983,2005-10-04 00:00:00,2018-10-27 00:00:00,1.0,White,0.6,49.36,13,9,0.0,2
ANSL_62164,2009-02-13 00:00:00,2017-12-14 15:49:00,0.0,Black,0.83,22.34,0,1,1.0,2
ANSL_53732,2017-07-28 00:00:00,2019-03-27 15:40:00,0.0,White,0.92,37.62,0,1,1.0,1
ANSL_69635,2017-05-26 00:00:00,2018-06-21 15:15:00,2.0,White,0.16,48.19,0,7,1.0,2
ANSL_54000,2018-01-14 00:00:00,2018-02-11 14:49:00,,White,0.03,21.9,13,9,2.0,1
ANSL_66035,2017-08-26 00:00:00,2018-11-15 15:15:00,1.0,Black,0.91,30.24,13,9,0.0,2
ANSL_50166,2018-07-06 00:00:00,2018-09-30 18:44:00,0.0,Torbie,0.73,15.86,0,1,1.0,1
ANSL_50330,2017-07-27 00:00:00,2018-02-18 10:19:00,,Brown,0.73,8.22,0,6,2.0,4
ANSL_66446,2010-03-14 00:00:00,2017-04-10 14:17:00,1.0,Orange Tabby,0.9,12.88,0,7,0.0,1
ANSL_51682,2017-06-08 00:00:00,2018-07-30 18:36:00,1.0,Tricolor,0.88,41.37,0,7,0.0,2
ANSL_56697,2014-10-31 00:00:00,2016-11-21 15:26:00,2.0,Brown,0.65,18.14,13,9,1.0,4
ANSL_60819,2015-10-23 00:00:00,2017-12-26 11:11:00,0.0,Black,0.79,10.9,7,1,1.0,1
ANSL_58673,2017-12-29 00:00:00,2018-03-08 11:04:00,,Black,0.08,30.4,9,2,2.0,1
ANSL_62458,2018-04-17 00:00:00,2018-12-14 17:42:00,0.0,Blue,0.05,44.1,0,1,1.0,1
ANSL_64552,2016-10-23 00:00:00,2017-11-14 09:00:00,0.0,Orange Tabby,0.52,13.25,16,9,1.0,1
ANSL_75413,2018-11-29 00:00:00,2019-04-08 17:09:00,1.0,Black,0.62,32.76,0,1,0.0,2
ANSL_76141,2018-03-29 00:00:00,2019-04-26 11:49:00,1.0,White,0.42,10.38,0,8,0.0,2
ANSL_60574,2015-01-20 00:00:00,2018-04-09 09:30:00,1.0,Black,0.53,42.92,13,9,0.0,1
ANSL_55045,2015-03-06 00:00:00,2017-03-28 19:02:00,0.0,Black,0.07,7.09,16,9,1.0,1
ANSL_66680,2016-08-24 00:00:00,2017-09-24 14:28:00,0.0,Blue,0.41,35.07,0,1,1.0,2
ANSL_55030,2008-03-20 00:00:00,2017-07-23 17:26:00,2.0,Sable,0.54,17.01,0,7,0.0,2
ANSL_75554,2017-03-04 00:00:00,2019-04-12 13:06:00,0.0,White,0.19,30.01,13,9,1.0,2
ANSL_62016,2016-12-15 00:00:00,2019-01-07 21:55:00,,Brown Tabby,0.44,49.68,18,4,2.0,1
ANSL_69645,2015-01-28 00:00:00,2018-02-28 18:24:00,0.0,Tan,0.67,15.38,0,7,1.0,2
ANSL_52823,2014-03-13 00:00:00,2017-12-31 14:42:00,1.0,Tan,0.7,12.53,0,7,0.0,2
ANSL_76493,2017-04-07 00:00:00,2019-05-03 21:07:00,1.0,Brown,0.8,29.12,0,1,0.0,2
ANSL_52483,2016-07-16 00:00:00,2016-10-15 15:50:00,2.0,Brown Tabby,0.33,46.54,18,4,0.0,1
ANSL_56705,2016-10-29 00:00:00,2017-11-24 17:35:00,0.0,Tan,0.09,20.71,0,1,1.0,2
ANSL_71550,2016-08-03 00:00:00,2016-10-29 19:51:00,1.0,White,0.62,35.64,7,1,0.0,1
ANSL_74451,2016-06-21 00:00:00,2018-06-12 11:35:00,1.0,Black,0.83,17.96,0,7,0.0,1
ANSL_54362,2016-12-09 00:00:00,2017-11-03 17:36:00,0.0,Black,0.04,43.27,0,1,1.0,2
ANSL_55262,2016-07-03 00:00:00,2017-07-28 18:59:00,1.0,Orange Tabby,0.38,32.15,16,9,0.0,1
ANSL_52281,2016-04-08 00:00:00,2018-05-09 14:57:00,0.0,Blue,0.1,44.25,0,1,1.0,2
ANSL_50293,2016-11-18 00:00:00,2017-02-21 15:23:00,2.0,Brown Tabby,0.73,35.42,9,2,0.0,1
ANSL_63670,2010-09-15 00:00:00,2019-03-31 18:39:00,0.0,Brown Tabby,0.31,49.06,0,1,1.0,1
ANSL_54345,2014-01-03 00:00:00,2019-01-27 14:54:00,0.0,Tricolor,0.3,23.88,0,7,1.0,2
ANSL_54467,2016-01-07 00:00:00,2018-01-29 07:48:00,,Red,0.49,39.78,15,4,2.0,4
ANSL_63117,2015-02-07 00:00:00,2018-02-28 16:16:00,1.0,Black,0.24,40.52,0,7,0.0,1
ANSL_75526,2016-03-18 00:00:00,2019-04-11 15:06:00,2.0,Black,0.79,39.36,0,3,0.0,1
ANSL_58969,2016-11-20 00:00:00,2016-12-16 16:40:00,,Brown Tabby,0.17,32.6,13,9,2.0,1
