Health_Camp_ID,Camp_Start_Date,Camp_End_Date,Category1,Category2,Category3
6560,16-Aug-03,20-Aug-03,First,B,2
6530,16-Aug-03,28-Oct-03,First,C,2
6544,03-Nov-03,15-Nov-03,First,F,1
6585,22-Nov-03,05-Dec-03,First,E,2
6561,30-Nov-03,18-Dec-03,First,E,1
6581,07-Dec-03,13-Jun-04,First,F,2
6564,17-Dec-03,11-Jun-04,First,C,2
6557,04-Jan-04,09-Jan-04,First,C,2
6538,09-Jan-04,04-Feb-05,First,F,2
6546,09-Jan-04,17-Jan-04,First,E,2
6535,01-Feb-04,18-Feb-04,First,E,2
6553,26-Apr-04,04-May-04,First,C,2
6565,29-Apr-04,04-May-04,First,C,2
6552,21-May-04,24-May-04,First,C,2
6539,07-Aug-04,12-Feb-05,First,F,2
6558,22-Aug-04,27-Aug-04,First,C,2
6563,09-Sep-04,14-Sep-04,First,C,2
6569,17-Sep-04,20-Sep-04,First,C,2
6586,01-Oct-04,18-Oct-04,First,E,2
6540,01-Nov-04,04-Nov-04,First,E,2
6562,24-Nov-04,02-Jun-05,First,F,2
6531,09-Dec-04,14-Dec-04,First,C,2
6580,22-Dec-04,06-Jan-05,First,E,2
6526,03-Jan-05,20-Feb-05,First,E,2
6536,15-Feb-05,18-Feb-05,Second,D,2
6542,19-Feb-05,23-Aug-05,First,F,2
6532,19-Feb-05,23-Aug-05,First,F,2
6523,23-Feb-05,16-Sep-05,Second,D,2
6524,13-May-05,21-May-05,First,C,2
6527,13-Jun-05,22-Jul-05,Third,G,2
6554,19-Jun-05,01-Jul-05,First,B,2
6549,23-Jun-05,27-Jun-05,Second,A,2
6570,09-Jul-05,22-Jul-05,First,E,2
6587,02-Aug-05,09-Aug-05,First,E,1
6578,16-Aug-05,14-Oct-05,Third,G,2
6555,15-Sep-05,19-Sep-05,Second,A,2
6543,27-Sep-05,07-Nov-07,First,F,2
6537,27-Sep-05,07-Nov-07,First,F,2
6571,09-Oct-05,12-Oct-05,First,E,2
6575,12-Oct-05,14-Oct-05,First,C,2
6534,17-Oct-05,07-Nov-07,Second,A,2
6541,03-Dec-05,30-Jan-06,Third,G,2
6528,10-Feb-06,25-Apr-06,Third,G,2
6529,30-Mar-06,03-Apr-06,Second,A,2
6547,02-Apr-06,07-Apr-06,First,C,2
6582,06-Apr-06,07-Nov-07,First,F,2
6525,08-Apr-06,17-Apr-06,First,C,2
6566,18-Apr-06,25-Apr-06,First,E,2
6574,12-May-06,18-Aug-06,Third,G,2
6548,13-Jun-06,18-Aug-06,Third,G,2
6572,05-Jul-06,10-Jul-06,First,C,2
6583,02-Aug-06,05-Aug-06,Second,A,2
6584,04-Aug-06,09-Aug-06,Second,A,2
6568,17-Aug-06,13-Sep-06,First,E,2
6576,19-Aug-06,07-Nov-07,Third,G,2
6533,20-Sep-06,23-Sep-06,First,E,2
6545,22-Sep-06,27-Sep-06,First,C,2
6579,22-Sep-06,27-Sep-06,Second,A,2
6550,12-Oct-06,18-Dec-06,Third,G,2
6573,09-Nov-06,16-Mar-07,Third,G,2
6556,09-Nov-06,15-Dec-06,First,E,2
6551,13-Nov-06,18-Nov-06,Second,D,2
6559,11-Dec-06,12-Mar-07,First,F,2
6567,30-Jan-07,04-Feb-07,Second,D,2
6577,30-Jan-07,08-Mar-07,Third,G,2
