Offered_By,Category,Rating,Reviews,Size,Price,Content_Rating,Last_Updated_On,Release_Version,OS_Version_Required,Downloads
ps_id-24654,Finance,4.18,1481,Varies with device,Free,Everyone,May 05 2020,Varies with device,Varies with device,"100,000+"
ps_id-35329,Music And Audio,4.81,302,10M,Free,Everyone,Mar 26 2020,3.9.18,4.1 and up,"5,000+"
ps_id-11044,Game Casual,4.27,374,27M,Free,Everyone,May 01 2020,1.10.1,4.1 and up,"10,000+"
ps_id-36068,Business,4.03,122058,Varies with device,Free,Teen,May 02 2020,Varies with device,Varies with device,"10,000,000+"
ps_id-35831,Medical,4.6,358,Varies with device,297.5742,Everyone,Nov 29 2018,Varies with device,Varies with device,"5,000+"
ps_id-17918,Books And Reference,4.8,40,2.3M,Free,Everyone,Feb 05 2019,3,4.1 and up,"10,000+"
ps_id-11727,Finance,4.6,1992,24M,Free,Everyone,Jul 25 2019,3000.5.3532,5.0 and up,"50,000+"
ps_id-4496,Tools,4.62,37975,20M,Free,Everyone,May 05 2020,1.28.1,4.4 and up,"1,000,000+"
ps_id-9590,Finance,3.2,191,10M,Free,Everyone,Mar 01 2019,4.5.6,4.0 and up,"10,000+"
ps_id-7167,Game,4.1,349503,19M,Free,Everyone,Sep 29 2016,1.31,4.0 and up,"10,000,000+"
ps_id-13855,Travel And Local,3.8,144,8.7M,Free,Everyone,Nov 06 2015,5.0,2.3.3 and up,"10,000+"
ps_id-324,Family,4.3,6333,30M,Free,Everyone,Jun 29 2019,1.1.12,5.0 and up,"1,000,000+"
ps_id-10096,Music And Audio,3.25,8,11M,Free,Everyone,Nov 14 2019,1,4.0.3 and up,"5,000+"
ps_id-35478,Travel And Local,4.48,98490,Varies with device,Free,Everyone,May 01 2020,Varies with device,Varies with device,"5,000,000+"
ps_id-1839,Books And Reference,4.57,28,3.7M,Free,Everyone,Sep 04 2019,1.1,4.0 and up,"10,000+"
ps_id-26827,Game Simulation,4.6,99,79M,222.9942,Everyone,Feb 03 2019,1.4,4.2 and up,"10,000+"
ps_id-5042,Lifestyle,4.3,665,3.0M,Free,Everyone,Sep 08 2019,2.0,2.3 and up,"500,000+"
ps_id-21077,Comics,4.2,15194,15M,Free,Teen,Aug 23 2019,4.7.3,4.2 and up,"1,000,000+"
ps_id-30034,Education,4.56,133,14M,Free,Everyone,Apr 18 2020,V12.7.2-c67bf9488,4.4 and up,"10,000+"
ps_id-1380,Entertainment,4.39,147,49M,Free,Everyone,Jan 27 2020,2.6,4.1 and up,"10,000+"
ps_id-17873,Medical,3.17,12,1.5M,Free,Everyone,Mar 27 2020,1.0.1,4.3 and up,"1,000+"
ps_id-15594,Game Action,4.08,66,44M,Free,Teen,Mar 05 2020,Varies with device,4.0 and up,"50,000+"
ps_id-12085,Books And Reference,4.32,300,8.2M,Free,Everyone,Jan 06 2020,6,4.0.3 and up,"100,000+"
ps_id-11997,Entertainment,4.32,22503,6.7M,Free,Everyone 10+,May 04 2020,8.0.5,4.1 and up,"1,000,000+"
ps_id-12307,Lifestyle,3.2,16168,55M,Free,Everyone,Aug 30 2019,2.2.9,4.0.3 and up,"1,000,000+"
ps_id-12901,Social,4.1,78128208,Varies with device,Free,Teen,Sep 07 2019,Varies with device,Varies with device,"1,000,000,000+"
ps_id-13041,Sports,3.5,50179,23M,Free,Everyone,Sep 06 2019,2.5.7.1,5.0 and up,"1,000,000+"
ps_id-12627,Photography,4.3,1955,Varies with device,Free,Everyone,Jun 20 2019,Varies with device,Varies with device,"100,000+"
ps_id-36138,Game Word,4.44,10385,42M,Free,Everyone,Mar 03 2020,1.0.71,3.0 and up,"1,000,000+"
ps_id-12058,Game Trivia,4.53,122,Varies with device,111.1242,Everyone,Jan 22 2020,Varies with device,Varies with device,"1,000+"
ps_id-6748,Business,4.83,198,3.6M,Free,Everyone,May 01 2020,1.3,4.1 and up,"1,000+"
ps_id-32057,Education,4.51,1631,2.0M,Free,Everyone,Oct 26 2019,1.7.3,4.1 and up,"100,000+"
ps_id-35120,Communication,4.14,141,3.6M,Free,Everyone,Mar 10 2020,5,4.1 and up,"10,000+"
ps_id-32358,News And Magazines,4.0,7006,23M,Free,Everyone,Sep 04 2019,5.6.40,4.0 and up,"1,000,000+"
ps_id-7511,Game Board,3.91,25591,23M,372.1542,Everyone,Apr 09 2020,4.6.9,4.0 and up,"500,000+"
ps_id-26190,Education,4.3,656,556k,Free,Everyone,Aug 15 2015,1.1,2.2 and up,"10,000+"
ps_id-32442,House And Home,3.5,6,8.2M,Free,Everyone,Apr 29 2020,1.0.23,4.4 and up,"5,000+"
ps_id-25830,Game Action,4.5,48745,41M,Free,Everyone,Nov 22 2019,1.2.5,4.2 and up,"1,000,000+"
ps_id-12808,Personalization,4.2,18926,2.9M,Free,Everyone,Nov 02 2014,0.5.2 beta,2.2 and up,"1,000,000+"
ps_id-18221,Game Puzzle,4.86,50152,38M,Free,Everyone,May 07 2020,8.2.2,4.1 and up,"1,000,000+"
ps_id-33705,Sports,4.4,129409,73M,148.4142,Everyone,Sep 08 2019,1.5.1,4.0.3 and up,"1,000,000+"
ps_id-25238,Productivity,4.61,28795,Varies with device,Free,Everyone,May 03 2020,Varies with device,Varies with device,"500,000+"
ps_id-24412,Business,4.0,3,16M,Free,Everyone,May 22 2019,1.10,4.1 and up,"1,000+"
ps_id-29701,Health And Fitness,4.9,272337,13M,Free,Everyone,Jul 26 2019,1.0.2,4.2 and up,"10,000,000+"
ps_id-27434,Health And Fitness,4.76,9110,8.3M,Free,Everyone,Jul 02 2017,2.0.3,4.1 and up,"100,000+"
ps_id-19679,Education,4.65,4542,45M,Free,Everyone,May 05 2020,2.6.1,4.1 and up,"500,000+"
ps_id-28250,Tools,4.3,817,7.0M,Free,Everyone,Nov 02 2019,1.8,4.1 and up,"100,000+"
ps_id-13340,Game Casual,4.33,10521,70M,222.9942,Everyone 10+,Apr 20 2019,1.8,4.0 and up,"100,000+"
ps_id-1203,Education,4.71,42,14M,Free,Everyone,Feb 28 2020,1,4.1 and up,"5,000+"
ps_id-14981,Education,4.53,5396,2.6M,Free,Everyone,Jan 30 2020,4.6.5,4.0.3 and up,"100,000+"
ps_id-14155,News And Magazines,4.32,38701,Varies with device,Free,Everyone,May 01 2020,Varies with device,Varies with device,"1,000,000+"
ps_id-28642,Shopping,4.4,25587,14M,Free,Everyone,Mar 17 2020,2.2.15,6.0 and up,"10,000,000+"
ps_id-34902,Finance,4.2,5,7.9M,Free,Everyone,Oct 04 2019,1.5.1,4.3 and up,"1,000+"
ps_id-2701,Art And Design,3.4,486,5.9M,Free,Everyone,Aug 30 2019,5.7,5.0 and up,"100,000+"
ps_id-10993,Game Simulation,4.42,5761,94M,Free,Everyone,May 07 2020,1.5.45,4.0.3 and up,"100,000+"
ps_id-23728,Entertainment,3.9,1917,32M,Free,Everyone,Dec 18 2019,1.2.6,5.0 and up,"100,000+"
ps_id-32826,Weather,4.4,1558437,Varies with device,Free,Everyone,Sep 05 2019,Varies with device,Varies with device,"50,000,000+"
ps_id-11501,Communication,4.2,2424,6.1M,Free,Everyone,Feb 12 2020,1.16,4.4 and up,"100,000+"
ps_id-30639,Game Casual,4.37,250,2.9M,Free,Everyone,Oct 26 2016,1.0.3,2.3.3 and up,"10,000+"
ps_id-13180,Education,2.98,43,19M,Free,Everyone,Feb 11 2020,2.1.0,4.4 and up,"10,000+"
ps_id-5113,Family,4.4,203101,Varies with device,Free,Everyone,Jul 05 2019,Varies with device,4.1 and up,"5,000,000+"
ps_id-3131,News And Magazines,4.4,99,10M,Free,Everyone,Feb 27 2020,6.8,4.1 and up,"1,000+"
ps_id-33746,Tools,2.8,5,9.0M,Free,Everyone,Apr 28 2020,1.1.6,4.3 and up,100+
ps_id-25877,Photography,4.14,106,29M,Free,Everyone,Nov 02 2019,1.1,4.0.3 and up,"10,000+"
ps_id-23362,Education,3.24,21,7.3M,Free,Everyone,Feb 14 2020,7.3.0,5.0 and up,"5,000+"
ps_id-16967,Entertainment,3.65,147,69M,Free,Everyone,Nov 19 2019,1.6.7,4.4 and up,"10,000+"
ps_id-14263,Entertainment,4.63,2589,35M,Free,Everyone,Mar 22 2020,1.2,4.1 and up,"100,000+"
ps_id-26684,Tools,4.59,218,2.1M,73.8342,Everyone,Aug 09 2019,4.0.3 pro,4.4 and up,"5,000+"
ps_id-27120,Education,4.38,993,3.9M,Free,Everyone,Feb 19 2020,1.5.1,3.1 and up,"50,000+"
ps_id-4130,Shopping,3.55,11,7.3M,Free,Everyone,Jan 30 2018,1,4.0.3 and up,"5,000+"
ps_id-24332,News And Magazines,4.3,577,5.5M,Free,Everyone,Apr 25 2020,1,4.0.3 and up,"50,000+"
ps_id-26037,Maps And Navigation,4.42,179,9.9M,Free,Everyone,Apr 15 2020,1.2,4.0.3 and up,"10,000+"
ps_id-3190,Lifestyle,4.72,27589,40M,Free,Everyone,Apr 27 2020,1.17.3,4.2 and up,"500,000+"
ps_id-22116,Maps And Navigation,4.67,3,5.6M,Free,Everyone,Apr 20 2020,1.5,4.4 and up,100+
ps_id-3209,Travel And Local,3.7,16980,Varies with device,Free,Everyone,Aug 22 2019,Varies with device,Varies with device,"5,000,000+"
ps_id-13482,Game Puzzle,4.53,44077,100M,Free,Everyone,Mar 26 2020,1.0.4,4.1 and up,"1,000,000+"
ps_id-29811,Sports,4.45,394,21M,Free,Everyone,Jan 25 2019,1.0.0,4.2 and up,"50,000+"
ps_id-31499,Entertainment,4.36,126,15M,Free,Everyone,Sep 07 2016,1.1.0,2.2 and up,"10,000+"
ps_id-23709,Photography,4.45,9496,17M,Free,Everyone,Feb 18 2020,2.4,4.1 and up,"1,000,000+"
