age_bucket,country_destination,gender,population_in_thousands,year
100+,AU,male,1.0,2015.0
95-99,AU,male,9.0,2015.0
90-94,AU,male,47.0,2015.0
85-89,AU,male,118.0,2015.0
80-84,AU,male,199.0,2015.0
75-79,AU,male,298.0,2015.0
70-74,AU,male,415.0,2015.0
65-69,AU,male,574.0,2015.0
60-64,AU,male,636.0,2015.0
55-59,AU,male,714.0,2015.0
50-54,AU,male,778.0,2015.0
45-49,AU,male,778.0,2015.0
40-44,AU,male,820.0,2015.0
35-39,AU,male,797.0,2015.0
30-34,AU,male,881.0,2015.0
25-29,AU,male,895.0,2015.0
20-24,AU,male,820.0,2015.0
15-19,AU,male,768.0,2015.0
10-14,AU,male,743.0,2015.0
5-9,AU,male,784.0,2015.0
0-4,AU,male,824.0,2015.0
100+,AU,female,4.0,2015.0
95-99,AU,female,25.0,2015.0
90-94,AU,female,94.0,2015.0
85-89,AU,female,179.0,2015.0
80-84,AU,female,252.0,2015.0
75-79,AU,female,338.0,2015.0
70-74,AU,female,438.0,2015.0
65-69,AU,female,592.0,2015.0
60-64,AU,female,660.0,2015.0
55-59,AU,female,739.0,2015.0
50-54,AU,female,798.0,2015.0
45-49,AU,female,793.0,2015.0
40-44,AU,female,838.0,2015.0
35-39,AU,female,801.0,2015.0
30-34,AU,female,865.0,2015.0
25-29,AU,female,851.0,2015.0
20-24,AU,female,787.0,2015.0
15-19,AU,female,737.0,2015.0
10-14,AU,female,707.0,2015.0
5-9,AU,female,745.0,2015.0
0-4,AU,female,781.0,2015.0
75-79,CA,female,530.0,2015.0
75-79,CA,male,446.0,2015.0
35-39,CA,female,1192.0,2015.0
25-29,CA,female,1220.0,2015.0
95-99,CA,male,13.0,2015.0
40-44,CA,male,1179.0,2015.0
30-34,CA,female,1240.0,2015.0
60-64,CA,female,1142.0,2015.0
55-59,CA,male,1287.0,2015.0
45-49,CA,male,1232.0,2015.0
85-89,CA,female,300.0,2015.0
50-54,CA,male,1400.0,2015.0
100+,CA,male,1.0,2015.0
70-74,CA,male,650.0,2015.0
95-99,CA,female,42.0,2015.0
100+,CA,female,7.0,2015.0
90-94,CA,male,68.0,2015.0
50-54,CA,female,1391.0,2015.0
0-4,CA,male,1045.0,2015.0
5-9,CA,male,1011.0,2015.0
70-74,CA,female,715.0,2015.0
10-14,CA,male,983.0,2015.0
55-59,CA,female,1305.0,2015.0
45-49,CA,female,1217.0,2015.0
20-24,CA,female,1159.0,2015.0
15-19,CA,male,1054.0,2015.0
20-24,CA,male,1203.0,2015.0
65-69,CA,male,914.0,2015.0
40-44,CA,female,1169.0,2015.0
90-94,CA,female,153.0,2015.0
65-69,CA,female,973.0,2015.0
60-64,CA,male,1094.0,2015.0
85-89,CA,male,183.0,2015.0
25-29,CA,male,1273.0,2015.0
5-9,CA,female,960.0,2015.0
80-84,CA,female,422.0,2015.0
30-34,CA,male,1262.0,2015.0
10-14,CA,female,929.0,2015.0
0-4,CA,female,991.0,2015.0
35-39,CA,male,1189.0,2015.0
15-19,CA,female,1009.0,2015.0
80-84,CA,male,318.0,2015.0
70-74,DE,male,2099.0,2015.0
80-84,DE,female,1486.0,2015.0
60-64,DE,female,2799.0,2015.0
100+,DE,male,3.0,2015.0
5-9,DE,female,1690.0,2015.0
75-79,DE,female,2421.0,2015.0
70-74,DE,female,2362.0,2015.0
65-69,DE,female,2134.0,2015.0
85-89,DE,male,517.0,2015.0
25-29,DE,female,2495.0,2015.0
60-64,DE,male,2575.0,2015.0
0-4,DE,female,1713.0,2015.0
55-59,DE,male,2983.0,2015.0
50-54,DE,male,3614.0,2015.0
30-34,DE,female,2571.0,2015.0
45-49,DE,male,3525.0,2015.0
40-44,DE,male,2633.0,2015.0
35-39,DE,female,2402.0,2015.0
65-69,DE,male,2003.0,2015.0
35-39,DE,male,2448.0,2015.0
20-24,DE,female,2161.0,2015.0
30-34,DE,male,2627.0,2015.0
95-99,DE,male,17.0,2015.0
40-44,DE,female,2559.0,2015.0
75-79,DE,male,1932.0,2015.0
25-29,DE,male,2593.0,2015.0
10-14,DE,female,1800.0,2015.0
20-24,DE,male,2266.0,2015.0
15-19,DE,male,2076.0,2015.0
45-49,DE,female,3357.0,2015.0
10-14,DE,male,1892.0,2015.0
5-9,DE,male,1781.0,2015.0
50-54,DE,female,3513.0,2015.0
0-4,DE,male,1811.0,2015.0
15-19,DE,female,1974.0,2015.0
100+,DE,female,14.0,2015.0
90-94,DE,male,154.0,2015.0
80-84,DE,male,1016.0,2015.0
95-99,DE,female,71.0,2015.0
90-94,DE,female,491.0,2015.0
55-59,DE,female,2996.0,2015.0
85-89,DE,female,988.0,2015.0
95-99,ES,male,22.0,2015.0
15-19,ES,female,1027.0,2015.0
85-89,ES,male,306.0,2015.0
75-79,ES,male,688.0,2015.0
40-44,ES,female,1924.0,2015.0
100+,ES,male,3.0,2015.0
90-94,ES,male,112.0,2015.0
45-49,ES,male,1909.0,2015.0
15-19,ES,male,1087.0,2015.0
0-4,ES,female,1198.0,2015.0
