country_destination,lat_destination,lng_destination,distance_km,destination_km2,destination_language ,language_levenshtein_distance
AU,-26.853388,133.27516,15297.744,7741220.0,eng,0.0
CA,62.393303,-96.818146,2828.1333,9984670.0,eng,0.0
DE,51.165707,10.452764,7879.568,357022.0,deu,72.61
ES,39.896027,-2.4876945,7730.724,505370.0,spa,92.25
FR,46.232193,2.209667,7682.945,643801.0,fra,92.06
GB,54.63322,-3.4322774,6883.659,243610.0,eng,0.0
IT,41.87399,12.564167,8636.631,301340.0,ita,89.4
NL,52.133057,5.29525,7524.3203,41543.0,nld,63.22
PT,39.553444,-7.839319,7355.2534,92090.0,por,95.45
US,36.966427,-95.84403,0.0,9826675.0,eng,0.0
