challenge_ID,programming_language,challenge_series_ID,total_submissions,publish_date,author_ID,author_gender,author_org_ID,category_id
CI23478,2,SI2445,37,06-05-2006,AI563576,M,AOI100001,
CI23479,2,SI2435,48,17-10-2002,AI563577,M,AOI100002,32
CI23480,1,SI2435,15,16-10-2002,AI563578,M,AOI100003,
CI23481,1,SI2710,236,19-09-2003,AI563579,M,AOI100004,70
CI23482,2,SI2440,137,21-03-2002,AI563580,M,AOI100005,
CI23483,2,SI2445,1434,06-05-2006,,,,70
CI23484,1,SI2440,509,22-03-2006,AI563582,F,AOI100007,32
CI23485,1,SI2435,287,17-10-2002,AI563583,F,AOI100008,23
CI23486,2,SI2440,19,20-03-2002,AI563584,M,AOI100009,
CI23487,1,SI2435,28,14-10-2002,AI563585,M,AOI100010,141
CI23488,2,SI2440,16,26-03-2004,AI563586,,AOI100011,
CI23489,1,SI2439,44,25-10-2005,AI563587,F,AOI100012,
CI23490,2,SI2445,33,06-05-2006,AI563588,F,AOI100013,
CI23491,2,SI2445,28,06-05-2006,AI563589,M,AOI100014,
CI23492,2,SI2440,68,23-03-2004,AI563590,M,AOI100015,69
CI23493,1,SI2435,326,15-10-2002,AI563591,M,AOI100016,48
CI23494,1,SI2439,173,25-10-2005,AI563592,M,AOI100017,180
CI23495,1,SI2439,19,25-10-2005,AI563593,M,AOI100018,97
CI23496,2,SI2438,84,25-05-2005,AI563594,M,AOI100019,
CI23497,2,SI2442,195,17-07-2006,,,,70
CI23498,1,SI2435,77,15-10-2002,AI563595,M,AOI100002,
CI23499,2,SI2437,35,14-10-2006,AI563596,M,AOI100011,23
CI23500,1,SI2440,112,25-03-2003,AI563597,M,AOI100020,70
CI23501,1,SI2435,88,17-10-2002,AI563598,M,AOI100021,23
CI23502,1,SI2435,47,16-10-2002,AI563599,M,,
CI23503,1,SI2440,992,24-03-2006,AI563596,M,AOI100011,27
CI23504,1,SI2441,1154,13-03-2003,AI563600,M,AOI100022,36
CI23505,1,SI2435,83,16-10-2002,AI563601,M,AOI100023,
CI23506,1,SI2435,338,16-10-2002,AI563602,F,AOI100024,47
CI23507,1,SI2435,37,14-10-2002,AI563603,M,AOI100025,39
CI23508,2,SI2440,31,19-03-2002,AI563604,M,AOI100011,70
CI23509,1,SI2435,81,15-10-2002,AI563605,F,AOI100026,
CI23510,1,SI2441,1418,08-07-2004,AI563606,F,AOI100027,36
CI23511,1,SI2436,573,11-10-2004,AI563607,M,AOI100028,137
CI23512,2,SI2445,290,06-05-2006,AI563608,M,AOI100029,69
CI23513,1,SI2435,89,15-10-2002,AI563576,M,AOI100001,48
CI23514,2,SI2440,829,27-03-2003,AI563609,M,AOI100030,23
CI23515,1,SI2435,44,15-10-2002,AI563576,M,AOI100001,
CI23516,1,SI2435,104,15-10-2002,AI563610,M,AOI100031,
CI23517,2,SI2443,4419,17-11-2004,AI563611,M,AOI100032,49
CI23518,1,SI2435,103,16-10-2002,AI563612,M,AOI100033,39
CI23519,1,SI2435,193,15-10-2002,AI563613,M,AOI100001,52
CI23520,2,SI2445,24,06-05-2006,,,,
CI23521,1,SI2435,153,15-10-2002,AI563614,M,AOI100034,48
CI23522,1,SI2440,72,22-03-2004,AI563615,F,AOI100035,53
CI23523,2,SI2446,91,22-09-2000,AI563616,F,AOI100001,
CI23524,2,SI2446,213,21-03-2003,AI563617,M,,70
CI23525,2,SI2446,169,12-02-2003,AI563618,M,AOI100016,
CI23526,1,SI2446,252,15-11-2002,AI563619,M,AOI100036,79
CI23527,1,SI2446,164,13-02-2003,AI563620,M,AOI100037,70
CI23528,2,SI2446,82,12-09-2005,AI563621,M,AOI100038,
CI23529,1,SI2446,912,31-01-2007,AI563622,M,AOI100039,70
CI23530,2,SI2446,110,21-02-2007,AI563623,M,AOI100040,
CI23531,1,SI2446,341,21-08-2006,AI563624,M,AOI100041,70
CI23532,1,SI2446,489,18-10-2006,AI563625,M,AOI100011,70
CI23533,1,SI2446,1169,20-06-2006,AI563626,M,AOI100042,70
CI23534,1,SI2446,779,07-12-2006,AI563627,M,AOI100043,70
CI23535,2,SI2446,534,17-01-2007,AI563628,F,AOI100011,70
CI23536,1,SI2446,280,23-10-2006,AI563629,M,AOI100044,23
CI23537,1,SI2446,266,23-05-2006,AI563630,M,AOI100045,70
CI23538,1,SI2446,230,05-04-2006,AI563631,M,AOI100046,70
CI23539,1,SI2446,848,01-03-2006,AI563632,M,AOI100047,69
CI23540,1,SI2446,171,22-03-2006,AI563582,F,AOI100007,32
CI23541,1,SI2446,135,28-03-2006,AI563633,M,AOI100048,79
CI23542,1,SI2446,293,25-09-2002,AI563634,M,AOI100049,75
CI23543,1,SI2446,51,20-09-2002,AI563635,M,AOI100050,71
CI23544,2,SI2446,193,14-06-2002,AI563636,M,AOI100051,92
CI23545,1,SI2447,318,30-01-2007,AI563637,F,AOI100052,58
CI23546,1,SI2447,1355,06-10-2006,AI563638,F,AOI100053,39
CI23547,2,SI2447,37,18-11-2003,AI563639,M,AOI100002,
CI23548,1,SI2447,58,17-04-2007,AI563640,M,AOI100054,
CI23549,1,SI2447,469,26-09-2006,AI563641,M,AOI100055,36
CI23550,1,SI2447,104,09-01-2007,AI563642,M,AOI100056,
CI23551,2,SI2447,323,16-01-2007,AI563643,M,AOI100057,85
CI23552,2,SI2447,92,21-01-2003,AI563644,M,AOI100019,
CI23553,1,SI2447,97,16-01-2003,AI563645,M,AOI100058,71
CI23554,1,SI2447,1134,02-12-2003,AI563646,M,AOI100059,41
CI23555,1,SI2447,818,04-11-2003,AI563647,F,AOI100060,50
CI23556,2,SI2447,114,11-10-2003,AI563648,M,AOI100061,
CI23557,1,SI2447,290,17-12-2002,AI563649,F,AOI100062,135
CI23558,2,SI2447,65,14-01-2003,AI563650,F,AOI100063,
CI23559,2,SI2447,64,13-01-2004,AI563651,F,AOI100064,
CI23560,2,SI2447,372,09-11-2004,AI563652,M,AOI100065,
CI23561,2,SI2447,74,04-01-2005,AI563611,M,AOI100032,
CI23562,2,SI2447,180,03-02-2003,AI563653,M,AOI100066,36
CI23563,2,SI2447,31,29-06-2004,AI563611,M,AOI100032,
CI23564,1,SI2447,251,05-10-2004,AI563654,M,AOI100067,81
CI23565,1,SI2447,987,09-08-2004,AI563655,M,AOI100068,121
CI23566,2,SI2447,105,19-11-2002,AI563656,M,AOI100019,
CI23567,2,SI2447,52,22-10-2002,AI563611,M,AOI100032,
CI23568,1,SI2447,984,30-05-2006,AI563640,M,AOI100054,29
CI23569,1,SI2447,253,10-01-2005,AI563611,M,AOI100032,59
CI23570,2,SI2447,138,05-09-2002,AI563657,M,AOI100069,
CI23571,2,SI2447,201,18-06-2002,AI563652,M,AOI100065,38
CI23572,2,SI2447,165,03-10-2002,AI563658,M,AOI100070,
CI23573,2,SI2447,81,10-09-2002,AI563659,M,AOI100066,
CI23574,1,SI2447,112,17-09-2002,AI563660,M,AOI100071,
CI23575,1,SI2447,130,20-02-2007,AI563661,M,AOI100002,41
CI23576,2,SI2447,231,19-02-2001,AI563662,M,AOI100011,
CI23577,2,SI2447,114,05-03-2002,AI563653,M,AOI100066,35
CI23578,2,SI2447,82,26-03-2001,AI563663,M,AOI100019,
CI23579,1,SI2447,45,17-12-2003,AI563664,F,AOI100072,39
CI23580,2,SI2447,54,02-03-2004,AI563665,M,AOI100011,
CI23581,1,SI2447,54,09-03-2004,AI563666,M,AOI100073,
CI23582,1,SI2447,136,24-02-2004,AI563667,M,AOI100074,51
CI23583,2,SI2447,60,16-03-2004,AI563668,M,AOI100002,
