PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,Male,22,1,0,7.25,3
2,1,1,female,38,1,0,71.2833,1
3,1,3,female,26,0,0,7.925,3
4,1,1,female,35,1,0,53.1,3
5,0,3,Male,35,0,0,8.05,3
6,0,3,Male,60,0,0,8.4583,2
7,0,1,Male,54,0,0,51.8625,3
8,0,3,Male,2,3,1,21.075,3
9,1,3,female,27,0,2,11.1333,3
10,1,2,female,14,1,0,30.0708,1
11,1,3,female,4,1,1,16.7,3
12,1,1,female,58,0,0,26.55,3
13,0,3,Male,20,0,0,8.05,3
14,0,3,Male,39,1,5,31.275,3
15,0,3,female,14,0,0,7.8542,3
16,1,2,female,55,0,0,16,3
17,0,3,Male,2,4,1,29.125,2
18,1,2,Male,60,0,0,13,3
19,0,3,female,31,1,0,18,3
20,1,3,female,60,0,0,7.225,1
21,0,2,Male,35,0,0,26,3
22,1,2,Male,34,0,0,13,3
23,1,3,female,15,0,0,8.0292,2
24,1,1,Male,28,0,0,35.5,3
25,0,3,female,8,3,1,21.075,3
26,1,3,female,38,1,5,31.3875,3
27,0,3,Male,60,0,0,7.225,1
28,0,1,Male,19,3,2,263,3
29,1,3,female,60,0,0,7.8792,2
30,0,3,Male,60,0,0,7.8958,3
31,0,1,Male,40,0,0,27.7208,1
32,1,1,female,60,1,0,146.5208,1
33,1,3,female,60,0,0,7.75,2
34,0,2,Male,66,0,0,10.5,3
35,0,1,Male,28,1,0,82.1708,1
36,0,1,Male,42,1,0,52,3
37,1,3,Male,60,0,0,7.2292,1
38,0,3,Male,21,0,0,8.05,3
39,0,3,female,18,2,0,18,3
40,1,3,female,14,1,0,11.2417,1
41,0,3,female,40,1,0,9.475,3
42,0,2,female,27,1,0,21,3
43,0,3,Male,60,0,0,7.8958,1
44,1,2,female,3,1,2,41.5792,1
45,1,3,female,19,0,0,7.8792,2
46,0,3,Male,60,0,0,8.05,3
47,0,3,Male,60,1,0,15.5,2
48,1,3,female,60,0,0,7.75,2
49,0,3,Male,60,2,0,21.6792,1
50,0,3,female,18,1,0,17.8,3
51,0,3,Male,7,4,1,39.6875,3
52,0,3,Male,21,0,0,7.8,3
53,1,1,female,49,1,0,76.7292,1
54,1,2,female,29,1,0,26,3
55,0,1,Male,65,0,1,61.9792,1
56,1,1,Male,60,0,0,35.5,3
57,1,2,female,21,0,0,10.5,3
58,0,3,Male,28.5,0,0,7.2292,1
59,1,2,female,5,1,2,27.75,3
60,0,3,Male,11,5,2,46.9,3
61,0,3,Male,22,0,0,7.2292,1
63,0,1,Male,45,1,0,83.475,3
64,0,3,Male,4,3,2,27.9,3
65,0,1,Male,60,0,0,27.7208,1
66,1,3,Male,60,1,1,15.2458,1
67,1,2,female,29,0,0,10.5,3
68,0,3,Male,19,0,0,8.1583,3
69,1,3,female,17,4,2,7.925,3
70,0,3,Male,26,2,0,8.6625,3
71,0,2,Male,32,0,0,10.5,3
72,0,3,female,16,5,2,46.9,3
73,0,2,Male,21,0,0,73.5,3
74,0,3,Male,26,1,0,14.4542,1
75,1,3,Male,32,0,0,56.4958,3
76,0,3,Male,25,0,0,7.65,3
77,0,3,Male,60,0,0,7.8958,3
78,0,3,Male,60,0,0,8.05,3
79,1,2,Male,0.83,0,2,29,3
80,1,3,female,30,0,0,12.475,3
81,0,3,Male,22,0,0,9,3
82,1,3,Male,29,0,0,9.5,3
83,1,3,female,60,0,0,7.7875,2
84,0,1,Male,28,0,0,47.1,3
85,1,2,female,17,0,0,10.5,3
86,1,3,female,33,3,0,15.85,3
87,0,3,Male,16,1,3,34.375,3
88,0,3,Male,60,0,0,8.05,3
89,1,1,female,23,3,2,263,3
90,0,3,Male,24,0,0,8.05,3
91,0,3,Male,29,0,0,8.05,3
92,0,3,Male,20,0,0,7.8542,3
93,0,1,Male,46,1,0,61.175,3
94,0,3,Male,26,1,2,20.575,3
95,0,3,Male,59,0,0,7.25,3
96,0,3,Male,60,0,0,8.05,3
97,0,1,Male,71,0,0,34.6542,1
98,1,1,Male,23,0,1,63.3583,1
99,1,2,female,34,0,1,23,3
100,0,2,Male,34,1,0,26,3
101,0,3,female,28,0,0,7.8958,3
102,0,3,Male,60,0,0,7.8958,3
103,0,1,Male,21,0,1,77.2875,3
104,0,3,Male,33,0,0,8.6542,3
105,0,3,Male,37,2,0,7.925,3
106,0,3,Male,28,0,0,7.8958,3
107,1,3,female,21,0,0,7.65,3
108,1,3,Male,60,0,0,7.775,3
109,0,3,Male,38,0,0,7.8958,3
110,1,3,female,60,1,0,24.15,2
111,0,1,Male,47,0,0,52,3
112,0,3,female,14.5,1,0,14.4542,1
113,0,3,Male,22,0,0,8.05,3
114,0,3,female,20,1,0,9.825,3
115,0,3,female,17,0,0,14.4583,1
116,0,3,Male,21,0,0,7.925,3
117,0,3,Male,70.5,0,0,7.75,2
118,0,2,Male,29,1,0,21,3
119,0,1,Male,24,0,1,247.5208,1
120,0,3,female,2,4,2,31.275,3
121,0,2,Male,21,2,0,73.5,3
122,0,3,Male,60,0,0,8.05,3
123,0,2,Male,32.5,1,0,30.0708,1
124,1,2,female,32.5,0,0,13,3
125,0,1,Male,54,0,1,77.2875,3
126,1,3,Male,12,1,0,11.2417,1
127,0,3,Male,60,0,0,7.75,2
128,1,3,Male,24,0,0,7.1417,3
129,1,3,female,60,1,1,22.3583,1
130,0,3,Male,45,0,0,6.975,3
131,0,3,Male,33,0,0,7.8958,1
132,0,3,Male,20,0,0,7.05,3
133,0,3,female,47,1,0,14.5,3
134,1,2,female,29,1,0,26,3
135,0,2,Male,25,0,0,13,3
136,0,2,Male,23,0,0,15.0458,1
137,1,1,female,19,0,2,26.2833,3
138,0,1,Male,37,1,0,53.1,3
139,0,3,Male,16,0,0,9.2167,3
140,0,1,Male,24,0,0,79.2,1
141,0,3,female,60,0,2,15.2458,1
142,1,3,female,22,0,0,7.75,3
143,1,3,female,24,1,0,15.85,3
144,0,3,Male,19,0,0,6.75,2
145,0,2,Male,18,0,0,11.5,3
146,0,2,Male,19,1,1,36.75,3
147,1,3,Male,27,0,0,7.7958,3
148,0,3,female,9,2,2,34.375,3
149,0,2,Male,36.5,0,2,26,3
150,0,2,Male,42,0,0,13,3
151,0,2,Male,51,0,0,12.525,3
152,1,1,female,22,1,0,66.6,3
153,0,3,Male,55.5,0,0,8.05,3
154,0,3,Male,40.5,0,2,14.5,3
155,0,3,Male,60,0,0,7.3125,3
156,0,1,Male,51,0,1,61.3792,1
157,1,3,female,16,0,0,7.7333,2
158,0,3,Male,30,0,0,8.05,3
159,0,3,Male,60,0,0,8.6625,3
160,0,3,Male,60,8,2,69.55,3
161,0,3,Male,44,0,1,16.1,3
162,1,2,female,40,0,0,15.75,3
163,0,3,Male,26,0,0,7.775,3
164,0,3,Male,17,0,0,8.6625,3
165,0,3,Male,1,4,1,39.6875,3
166,1,3,Male,9,0,2,20.525,3
167,1,1,female,60,0,1,55,3
168,0,3,female,45,1,4,27.9,3
169,0,1,Male,60,0,0,25.925,3
170,0,3,Male,28,0,0,56.4958,3
171,0,1,Male,61,0,0,33.5,3
172,0,3,Male,4,4,1,29.125,2
173,1,3,female,1,1,1,11.1333,3
174,0,3,Male,21,0,0,7.925,3
175,0,1,Male,56,0,0,30.6958,1
176,0,3,Male,18,1,1,7.8542,3
177,0,3,Male,60,3,1,25.4667,3
178,0,1,female,50,0,0,28.7125,1
179,0,2,Male,30,0,0,13,3
180,0,3,Male,36,0,0,0,3
181,0,3,female,60,8,2,69.55,3
182,0,2,Male,60,0,0,15.05,1
183,0,3,Male,9,4,2,31.3875,3
184,1,2,Male,1,2,1,39,3
185,1,3,female,4,0,2,22.025,3
186,0,1,Male,60,0,0,50,3
187,1,3,female,60,1,0,15.5,2
188,1,1,Male,45,0,0,26.55,3
189,0,3,Male,40,1,1,15.5,2
190,0,3,Male,36,0,0,7.8958,3
191,1,2,female,32,0,0,13,3
192,0,2,Male,19,0,0,13,3
193,1,3,female,19,1,0,7.8542,3
194,1,2,Male,3,1,1,26,3
195,1,1,female,44,0,0,27.7208,1
196,1,1,female,58,0,0,146.5208,1
197,0,3,Male,60,0,0,7.75,2
198,0,3,Male,42,0,1,8.4042,3
199,1,3,female,60,0,0,7.75,2
200,0,2,female,24,0,0,13,3
201,0,3,Male,28,0,0,9.5,3
202,0,3,Male,60,8,2,69.55,3
203,0,3,Male,34,0,0,6.4958,3
204,0,3,Male,45.5,0,0,7.225,1
205,1,3,Male,18,0,0,8.05,3
206,0,3,female,2,0,1,10.4625,3
207,0,3,Male,32,1,0,15.85,3
208,1,3,Male,26,0,0,18.7875,1
209,1,3,female,16,0,0,7.75,2
210,1,1,Male,40,0,0,31,1
211,0,3,Male,24,0,0,7.05,3
212,1,2,female,35,0,0,21,3
213,0,3,Male,22,0,0,7.25,3
214,0,2,Male,30,0,0,13,3
215,0,3,Male,60,1,0,7.75,2
216,1,1,female,31,1,0,113.275,1
217,1,3,female,27,0,0,7.925,3
218,0,2,Male,42,1,0,27,3
219,1,1,female,32,0,0,76.2917,1
220,0,2,Male,30,0,0,10.5,3
221,1,3,Male,16,0,0,8.05,3
222,0,2,Male,27,0,0,13,3
223,0,3,Male,51,0,0,8.05,3
224,0,3,Male,60,0,0,7.8958,3
225,1,1,Male,38,1,0,90,3
226,0,3,Male,22,0,0,9.35,3
227,1,2,Male,19,0,0,10.5,3
228,0,3,Male,20.5,0,0,7.25,3
229,0,2,Male,18,0,0,13,3
230,0,3,female,60,3,1,25.4667,3
231,1,1,female,35,1,0,83.475,3
232,0,3,Male,29,0,0,7.775,3
233,0,2,Male,59,0,0,13.5,3
234,1,3,female,5,4,2,31.3875,3
235,0,2,Male,24,0,0,10.5,3
236,0,3,female,60,0,0,7.55,3
237,0,2,Male,44,1,0,26,3
238,1,2,female,8,0,2,26.25,3
239,0,2,Male,19,0,0,10.5,3
240,0,2,Male,33,0,0,12.275,3
241,0,3,female,60,1,0,14.4542,1
242,1,3,female,60,1,0,15.5,2
243,0,2,Male,29,0,0,10.5,3
244,0,3,Male,22,0,0,7.125,3
245,0,3,Male,30,0,0,7.225,1
246,0,1,Male,44,2,0,90,2
247,0,3,female,25,0,0,7.775,3
248,1,2,female,24,0,2,14.5,3
249,1,1,Male,37,1,1,52.5542,3
250,0,2,Male,54,1,0,26,3
251,0,3,Male,60,0,0,7.25,3
252,0,3,female,29,1,1,10.4625,3
253,0,1,Male,62,0,0,26.55,3
254,0,3,Male,30,1,0,16.1,3
255,0,3,female,41,0,2,20.2125,3
256,1,3,female,29,0,2,15.2458,1
257,1,1,female,60,0,0,79.2,1
258,1,1,female,30,0,0,86.5,3
259,1,1,female,35,0,0,512.3292,1
