plate,lat,lon
am,30.754,132.824
am,30.970,132.965
am,31.216,133.197
am,31.515,133.500
am,31.882,134.042
am,32.200,134.691
am,32.326,135.026
am,32.460,135.356
am,32.537,135.612
am,32.686,136.025
am,32.868,136.524
am,33.053,137.030
am,33.405,137.546
am,33.749,138.066
am,34.059,138.383
am,34.582,138.508
am,35.034,138.674
am,35.034,138.674
am,35.360,138.421
am,35.734,138.259
am,36.027,138.121
am,36.311,137.894
am,36.600,137.854
am,37.184,137.902
am,37.856,137.889
am,38.485,137.848
am,38.982,137.774
am,39.404,137.845
am,39.659,138.085
am,39.832,138.352
am,40.072,138.655
am,40.474,138.655
am,40.782,138.756
am,41.103,138.475
am,41.482,138.489
am,41.769,138.743
am,41.995,138.824
am,42.766,138.811
am,43.192,138.801
am,43.939,138.563
am,44.295,138.577
am,44.811,138.850
am,45.412,139.038
am,45.947,139.158
am,46.224,139.370
am,46.516,139.938
am,46.956,140.553
am,47.392,141.178
am,48.051,142.023
am,48.704,142.878
am,49.241,142.761
am,49.778,142.641
am,50.318,142.521
am,50.857,142.398
am,51.700,142.541
am,52.542,142.692
am,53.042,142.784
am,53.384,142.849
am,54.035,142.409
am,54.035,142.409
am,54.074,141.278
am,54.103,140.145
am,54.333,139.211
am,54.588,137.918
am,54.830,136.610
am,55.060,135.138
am,55.273,133.650
am,55.491,132.674
am,55.702,131.688
am,55.861,130.747
am,56.013,129.798
am,56.401,128.393
am,56.774,126.960
am,57.130,125.499
am,57.178,124.573
am,57.219,123.645
am,57.254,122.715
am,57.281,121.784
am,57.302,120.851
am,57.316,119.918
am,57.151,119.021
am,56.980,118.133
am,56.802,117.253
am,56.618,116.382
am,56.526,115.015
am,56.418,113.656
am,56.295,112.305
am,56.221,110.924
am,55.762,109.758
am,55.331,109.375
am,54.899,109.000
am,54.150,108.691
am,53.401,108.393
am,53.081,107.706
am,52.758,107.029
am,52.431,106.362
am,52.099,105.705
am,51.765,105.058
am,51.427,104.420
am,50.786,104.904
am,50.143,105.375
am,49.292,105.582
am,48.441,105.781
am,47.910,105.916
am,47.380,106.048
am,46.849,106.177
am,46.318,106.304
am,45.875,106.460
am,45.431,106.614
am,44.987,106.765
am,44.543,106.914
am,44.099,107.061
am,43.655,107.205
am,43.149,108.131
am,42.636,109.041
am,42.070,109.693
am,41.601,110.570
am,41.126,111.435
am,40.645,112.287
am,41.024,112.911
am,41.399,113.542
am,41.163,114.392
am,40.921,115.235
am,40.596,115.810
am,40.267,116.379
am,40.057,117.010
am,39.843,117.638
am,40.054,118.245
am,40.261,118.856
am,40.654,119.846
am,41.039,120.848
am,41.329,121.313
am,41.617,121.782
am,41.904,122.255
am,42.188,122.732
am,41.530,123.510
am,40.867,124.272
am,40.200,125.019
am,39.742,125.199
am,39.283,125.376
am,38.824,125.551
am,38.365,125.723
am,37.541,125.914
am,36.718,126.101
am,36.169,126.115
am,35.621,126.128
am,34.936,126.196
am,34.252,126.263
am,34.252,126.263
am,33.563,125.521
am,32.870,124.791
am,32.173,124.072
am,31.471,123.364
am,31.471,123.364
am,31.326,123.867
am,31.250,124.487
am,31.196,125.030
am,31.202,125.729
am,31.227,126.404
am,31.273,127.054
am,31.362,127.655
am,31.471,128.258
am,31.601,128.812
am,31.793,129.442
am,31.793,129.442
am,32.042,129.768
am,32.019,130.185
am,31.982,130.835
am,31.877,131.284
am,31.761,131.717
am,31.484,132.030
am,31.257,132.269
am,30.991,132.581
am,30.754,132.824
am,30.754,132.824
an,-54.396,7.772
an,-54.101,7.237
an,-53.814,6.625
an,-54.114,6.184
an,-54.543,5.495
an,-54.309,5.084
an,-54.162,4.827
an,-54.430,4.415
an,-54.127,3.956
an,-53.834,3.369
an,-53.651,3.025
an,-54.037,2.360
an,-54.399,1.695
an,-54.832,0.965
an,-54.451,0.443
an,-54.677,-0.039
an,-54.852,-0.438
an,-54.852,-0.438
an,-55.019,-1.039
an,-55.129,-1.606
an,-55.653,-1.614
an,-55.657,-2.080
an,-55.707,-2.896
