interval_start_time,CAISO_system_load,temp_forecast_dayahead_bakersfield,temp_forecast_dayahead_los_angeles,temp_forecast_dayahead_san_francisco,dewpoint_forecast_dayahead_bakersfield,dewpoint_forecast_dayahead_los_angeles,dewpoint_forecast_dayahead_san_francisco
2020-01-01 00:00:00-08:00,21599.0,45.7,56.0,51.0,42.3,32.3,48.0
2020-01-01 01:00:00-08:00,20879.0,45.0,55.0,51.0,42.0,33.0,48.0
2020-01-01 02:00:00-08:00,20351.0,44.3,54.0,50.7,41.3,33.0,48.0
2020-01-01 03:00:00-08:00,20064.0,43.7,53.0,50.3,40.7,33.0,48.0
2020-01-01 04:00:00-08:00,20016.0,43.0,52.0,50.0,40.0,33.0,48.0
2020-01-01 05:00:00-08:00,20342.0,42.0,52.0,50.3,40.0,34.0,48.0
2020-01-01 06:00:00-08:00,20734.0,41.0,52.0,50.7,40.0,35.0,48.0
2020-01-01 07:00:00-08:00,20725.0,40.0,52.0,51.0,40.0,36.0,48.0
2020-01-01 08:00:00-08:00,20446.0,41.7,54.7,51.7,40.0,35.7,48.7
2020-01-01 09:00:00-08:00,19853.0,43.3,57.3,52.3,40.0,35.3,49.3
2020-01-01 10:00:00-08:00,19277.0,45.0,60.0,53.0,40.0,35.0,50.0
2020-01-01 11:00:00-08:00,18946.0,47.3,61.0,53.7,40.7,37.0,50.0
2020-01-01 12:00:00-08:00,18821.0,49.7,62.0,54.3,41.3,39.0,50.0
2020-01-01 13:00:00-08:00,19158.0,52.0,63.0,55.0,42.0,41.0,50.0
2020-01-01 14:00:00-08:00,20181.0,52.3,62.0,55.0,43.0,44.0,50.7
2020-01-01 15:00:00-08:00,21302.0,52.7,61.0,55.0,44.0,47.0,51.3
2020-01-01 16:00:00-08:00,22778.0,55.0,62.0,56.0,45.0,50.0,52.0
2020-01-01 17:00:00-08:00,24688.0,53.3,61.0,55.3,45.3,50.0,52.0
2020-01-01 18:00:00-08:00,24972.0,51.7,60.0,54.7,45.7,50.0,52.0
2020-01-01 19:00:00-08:00,24748.0,50.0,59.0,54.0,46.0,50.0,52.0
2020-01-01 20:00:00-08:00,24206.0,49.7,59.0,53.7,45.3,50.3,51.7
2020-01-01 21:00:00-08:00,23246.0,49.3,59.0,53.3,44.7,50.7,51.3
2020-01-01 22:00:00-08:00,21926.0,49.0,59.0,53.0,44.0,51.0,51.0
2020-01-01 23:00:00-08:00,20721.0,48.0,58.0,53.0,44.0,51.3,50.3
2020-01-02 00:00:00-08:00,19951.0,47.0,57.0,53.0,44.0,51.7,49.7
2020-01-02 01:00:00-08:00,19424.0,46.0,56.0,53.0,44.0,52.0,49.0
2020-01-02 02:00:00-08:00,19117.0,45.7,55.3,52.3,42.7,51.3,48.7
2020-01-02 03:00:00-08:00,19234.0,45.3,54.7,51.7,41.3,50.7,48.3
2020-01-02 04:00:00-08:00,19993.0,45.0,54.0,51.0,40.0,50.0,48.0
2020-01-02 05:00:00-08:00,21295.0,44.3,53.3,51.0,41.0,50.0,47.7
2020-01-02 06:00:00-08:00,23122.0,43.7,52.7,51.0,42.0,50.0,47.3
2020-01-02 07:00:00-08:00,24141.0,43.0,52.0,51.0,43.0,50.0,47.0
2020-01-02 08:00:00-08:00,24369.0,45.0,53.3,52.0,42.3,49.0,46.7
2020-01-02 09:00:00-08:00,23644.0,47.0,54.7,53.0,41.7,48.0,46.3
2020-01-02 10:00:00-08:00,22753.0,49.0,56.0,54.0,41.0,47.0,46.0
2020-01-02 11:00:00-08:00,22630.0,51.3,57.7,55.0,41.3,47.0,45.7
2020-01-02 12:00:00-08:00,22578.0,53.7,59.3,56.0,41.7,47.0,45.3
2020-01-02 13:00:00-08:00,22717.0,56.0,61.0,57.0,42.0,47.0,45.0
2020-01-02 14:00:00-08:00,23255.0,56.3,60.3,56.7,43.0,48.7,45.7
2020-01-02 15:00:00-08:00,23685.0,56.7,59.7,56.3,44.0,50.3,46.3
2020-01-02 16:00:00-08:00,26749.0,56.0,62.0,54.0,45.0,52.0,47.0
2020-01-02 17:00:00-08:00,27355.0,54.3,61.0,53.3,44.7,52.0,47.0
2020-01-02 18:00:00-08:00,27473.0,52.7,60.0,52.7,44.3,52.0,47.0
2020-01-02 19:00:00-08:00,26985.0,51.0,59.0,52.0,44.0,52.0,47.0
2020-01-02 20:00:00-08:00,26192.0,50.3,58.7,51.7,44.0,52.3,47.0
2020-01-02 21:00:00-08:00,25044.0,49.7,58.3,51.3,44.0,52.7,47.0
2020-01-02 22:00:00-08:00,23480.0,49.0,58.0,51.0,44.0,53.0,47.0
2020-01-02 23:00:00-08:00,21952.0,48.0,57.3,51.0,44.0,52.0,46.7
2020-01-03 00:00:00-08:00,20827.0,47.0,56.7,51.0,44.0,51.0,46.3
2020-01-03 01:00:00-08:00,20065.0,46.0,56.0,51.0,44.0,50.0,46.0
2020-01-03 02:00:00-08:00,19736.0,45.3,55.3,50.3,42.7,49.0,45.0
2020-01-03 03:00:00-08:00,19815.0,44.7,54.7,49.7,41.3,48.0,44.0
2020-01-03 04:00:00-08:00,20547.0,44.0,54.0,49.0,40.0,47.0,43.0
2020-01-03 05:00:00-08:00,22035.0,42.7,53.7,49.0,40.3,46.3,43.7
2020-01-03 06:00:00-08:00,23793.0,41.3,53.3,49.0,40.7,45.7,44.3
2020-01-03 07:00:00-08:00,24531.0,40.0,53.0,49.0,41.0,45.0,45.0
2020-01-03 08:00:00-08:00,24215.0,42.0,56.0,50.3,41.0,44.0,46.0
2020-01-03 09:00:00-08:00,23385.0,44.0,59.0,51.7,41.0,43.0,47.0
2020-01-03 10:00:00-08:00,22689.0,46.0,62.0,53.0,41.0,42.0,48.0
2020-01-03 11:00:00-08:00,22336.0,48.7,63.0,53.7,42.7,43.0,48.3
2020-01-03 12:00:00-08:00,22090.0,51.3,64.0,54.3,44.3,44.0,48.7
2020-01-03 13:00:00-08:00,22220.0,54.0,65.0,55.0,46.0,45.0,49.0
2020-01-03 14:00:00-08:00,22613.0,54.7,64.0,54.7,47.0,48.3,49.0
2020-01-03 15:00:00-08:00,23518.0,55.3,63.0,54.3,48.0,51.7,49.0
2020-01-03 16:00:00-08:00,25206.0,58.0,63.0,54.0,49.0,55.0,49.0
2020-01-03 17:00:00-08:00,26961.0,56.0,62.0,53.7,49.7,56.0,49.3
2020-01-03 18:00:00-08:00,26975.0,54.0,61.0,53.3,50.3,57.0,49.7
2020-01-03 19:00:00-08:00,26460.0,52.0,60.0,53.0,51.0,58.0,50.0
2020-01-03 20:00:00-08:00,25797.0,51.0,59.3,53.0,49.0,56.3,48.7
2020-01-03 21:00:00-08:00,24850.0,50.0,58.7,53.0,47.0,54.7,47.3
2020-01-03 22:00:00-08:00,23441.0,49.0,58.0,53.0,45.0,53.0,46.0
2020-01-03 23:00:00-08:00,22026.0,48.0,57.3,52.7,44.3,53.0,46.0
2020-01-04 00:00:00-08:00,20950.0,47.0,56.7,52.3,43.7,53.0,46.0
2020-01-04 01:00:00-08:00,20145.0,46.0,56.0,52.0,43.0,53.0,46.0
2020-01-04 02:00:00-08:00,19673.0,45.3,55.3,51.7,42.0,50.7,45.3
2020-01-04 03:00:00-08:00,19538.0,44.7,54.7,51.3,41.0,48.3,44.7
2020-01-04 04:00:00-08:00,19825.0,44.0,54.0,51.0,40.0,46.0,44.0
2020-01-04 05:00:00-08:00,20515.0,43.3,53.3,51.3,40.3,46.3,45.0
2020-01-04 06:00:00-08:00,21407.0,42.7,52.7,51.7,40.7,46.7,46.0
2020-01-04 07:00:00-08:00,21784.0,42.0,52.0,52.0,41.0,47.0,47.0
2020-01-04 08:00:00-08:00,21621.0,45.0,53.7,52.7,41.7,46.3,47.0
2020-01-04 09:00:00-08:00,21007.0,48.0,55.3,53.3,42.3,45.7,47.0
