Credit History,Age,Gender,Job,Housing,Saving accounts,Credit amount,Duration,Purpose,Risk
4,67,male,2,own,NA,1169,6,radio/TV,good
2,22,female,2,own,little,5951,48,radio/TV,bad
4,49,male,1,own,little,2096,12,education,good
2,45,male,2,free,little,7882,42,furniture/equipment,good
3,53,male,2,free,little,4870,24,car,bad
2,35,male,1,free,NA,9055,36,education,good
2,53,male,2,own,quite rich,2835,24,furniture/equipment,good
2,35,male,3,rent,little,6948,36,car,good
2,61,male,1,own,rich,3059,12,radio/TV,good
4,28,male,3,own,little,5234,30,car,bad
2,25,female,2,rent,little,1295,12,car,bad
2,24,female,2,rent,little,4308,48,business,bad
2,22,female,2,own,little,1567,12,radio/TV,good
4,60,male,1,own,little,1199,24,car,bad
2,28,female,2,rent,little,1403,15,car,good
2,32,female,1,own,moderate,1282,24,radio/TV,bad
4,53,male,2,own,NA,2424,24,radio/TV,good
0,25,male,2,own,NA,8072,30,business,good
2,44,female,3,free,little,12579,24,car,bad
2,31,male,2,own,quite rich,3430,24,radio/TV,good
4,48,male,2,own,little,2134,9,car,good
2,44,male,2,rent,quite rich,2647,6,radio/TV,good
4,48,male,1,rent,little,2241,10,car,good
4,44,male,2,own,moderate,1804,12,car,good
4,26,male,2,own,NA,2069,10,furniture/equipment,good
2,36,male,1,own,little,1374,6,furniture/equipment,good
0,39,male,1,own,little,426,6,radio/TV,good
1,42,female,2,rent,rich,409,12,radio/TV,good
2,34,male,2,own,little,2415,7,radio/TV,good
3,63,male,2,own,little,6836,60,business,bad
2,36,male,2,own,rich,1913,18,business,good
2,27,male,2,own,little,4020,24,furniture/equipment,good
2,30,male,2,own,moderate,5866,18,car,good
4,57,male,1,rent,NA,1264,12,business,good
2,33,female,3,own,little,1474,12,furniture/equipment,good
4,25,male,1,own,little,4746,45,radio/TV,bad
4,31,male,2,free,little,6110,48,education,good
2,37,male,2,own,little,2100,18,radio/TV,bad
2,37,male,2,own,little,1225,10,domestic appliances,good
2,24,male,2,own,little,458,9,radio/TV,good
2,30,male,3,own,quite rich,2333,30,radio/TV,good
2,26,male,2,own,quite rich,1158,12,radio/TV,good
3,44,male,1,own,little,6204,18,repairs,good
4,24,male,2,rent,moderate,6187,30,car,good
4,58,female,1,free,little,6143,48,car,bad
4,35,female,3,own,little,1393,11,car,good
2,39,male,2,own,quite rich,2299,36,radio/TV,good
2,23,female,0,rent,quite rich,1352,6,car,good
4,39,male,1,own,little,7228,11,car,good
2,28,female,2,own,moderate,2073,12,radio/TV,good
3,29,male,1,own,NA,2333,24,furniture/equipment,good
3,30,male,3,own,little,5965,27,car,good
2,25,male,2,own,little,1262,12,radio/TV,good
2,31,male,2,own,NA,3378,18,car,good
3,57,male,2,free,little,2225,36,car,bad
1,26,male,1,own,NA,783,6,car,good
2,52,male,3,own,NA,6468,12,radio/TV,bad
4,31,female,2,own,little,9566,36,radio/TV,good
2,23,female,3,own,little,1961,18,car,good
4,23,female,1,rent,little,6229,36,furniture/equipment,bad
2,27,male,2,own,little,1391,9,business,good
4,50,male,2,own,NA,1537,15,radio/TV,good
0,61,male,3,free,little,1953,36,business,bad
0,25,male,2,own,little,14421,48,business,bad
2,26,female,2,own,little,3181,24,radio/TV,good
2,48,male,2,own,NA,5190,27,repairs,good
2,29,female,2,own,little,2171,12,radio/TV,good
2,22,male,2,own,rich,1007,12,car,good
2,37,male,2,free,little,1819,36,education,bad
2,25,female,2,own,NA,2394,36,radio/TV,good
2,30,female,2,own,little,8133,36,car,good
4,46,male,1,rent,NA,730,7,radio/TV,good
4,51,male,3,free,little,1164,8,vacation/others,good
4,41,female,1,own,little,5954,42,business,good
2,40,male,3,own,NA,1977,36,education,bad
4,66,male,3,free,little,1526,12,car,good
2,34,male,2,own,little,3965,42,radio/TV,bad
3,51,male,2,own,little,4771,11,radio/TV,good
0,39,male,1,own,NA,9436,54,car,good
2,22,male,2,own,little,3832,30,furniture/equipment,good
2,44,female,2,own,NA,5943,24,radio/TV,bad
2,47,male,2,own,quite rich,1213,15,radio/TV,good
2,24,female,1,rent,moderate,1568,18,business,good
2,58,female,1,own,little,1755,24,vacation/others,good
2,52,male,1,own,little,2315,10,radio/TV,good
4,29,female,3,own,little,1412,12,business,good
4,27,female,2,own,little,1295,18,furniture/equipment,good
2,47,male,2,free,moderate,12612,36,education,bad
2,30,male,3,own,moderate,2249,18,car,good
0,28,male,2,own,little,1108,12,repairs,bad
4,56,male,2,own,little,618,12,radio/TV,good
4,54,male,2,own,little,1409,12,car,good
4,33,female,1,own,NA,797,12,radio/TV,bad
4,20,male,2,rent,NA,3617,24,furniture/equipment,good
2,54,male,2,own,rich,1318,12,car,good
0,58,male,2,rent,little,15945,54,business,bad
4,61,female,2,own,NA,2012,12,education,good
2,34,male,2,own,moderate,2622,18,business,good
4,36,male,2,own,little,2337,36,radio/TV,good
3,36,male,3,rent,NA,7057,20,car,good
2,41,male,1,rent,moderate,1469,24,car,good
2,24,male,2,rent,little,2323,36,radio/TV,good
3,24,female,2,own,little,932,6,radio/TV,good
4,35,male,2,rent,little,1919,9,furniture/equipment,good
2,26,male,2,rent,NA,2445,12,car,good
4,39,male,3,own,little,11938,24,vacation/others,bad
1,39,male,3,own,little,6458,18,car,bad
2,32,male,2,own,little,6078,12,car,good
2,30,female,2,own,NA,7721,24,furniture/equipment,good
2,35,male,2,own,quite rich,1410,14,business,good
3,31,male,2,own,moderate,1449,6,business,good
2,23,female,2,rent,little,392,15,education,good
2,28,male,1,rent,little,6260,18,car,good
4,25,female,2,own,little,7855,36,car,bad
2,35,male,2,own,quite rich,1680,12,radio/TV,good
4,47,male,2,own,NA,3578,48,radio/TV,good
2,30,female,3,own,NA,7174,42,radio/TV,bad
4,27,female,2,rent,NA,2132,10,furniture/equipment,good
4,23,female,2,own,quite rich,4281,33,furniture/equipment,bad
4,36,male,3,own,quite rich,2366,12,car,good
2,25,female,2,own,little,1835,21,radio/TV,bad
4,41,female,3,rent,little,3868,24,car,good
2,24,male,1,rent,little,1768,12,furniture/equipment,good
4,63,male,2,free,little,781,10,car,good
2,27,female,2,rent,NA,1924,18,furniture/equipment,bad
4,30,male,2,own,little,2121,12,car,good
