Date,Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
2017-02-06,0.79,0.79,0.76,0.76,0.79,7430.0,7.0,5848.0,7430.0,100.0,0.03,-0.03
2017-02-03,0.79,0.79,0.79,0.79,0.79,310.0,4.0,244.0,310.0,100.0,0.0,0.0
2017-02-02,0.83,0.83,0.83,0.83,0.83,75.0,1.0,62.0,75.0,100.0,0.0,0.0
2017-01-31,0.87,0.87,0.87,0.87,0.87,1050.0,2.0,913.0,1050.0,100.0,0.0,0.0
2017-01-25,0.91,0.91,0.91,0.91,0.91,400.0,1.0,364.0,400.0,100.0,0.0,0.0
2017-01-24,0.91,0.91,0.9,0.91,0.91,3632.0,6.0,3303.0,3632.0,100.0,0.01,0.0
2017-01-23,0.91,0.91,0.91,0.91,0.91,55.0,1.0,50.0,55.0,100.0,0.0,0.0
2017-01-20,0.93,0.93,0.92,0.92,0.92,74.0,2.0,68.0,74.0,100.0,0.01,-0.01
2017-01-19,0.89,0.89,0.89,0.89,0.88,77.0,2.0,68.0,77.0,100.0,0.0,0.0
2017-01-18,0.88,0.88,0.85,0.85,0.87,84.0,2.0,73.0,84.0,100.0,0.03,-0.03
2017-01-17,0.84,0.88,0.84,0.86,0.84,8100.0,10.0,6806.0,8100.0,100.0,0.04,0.02
2017-01-12,0.89,0.89,0.88,0.88,0.89,10105.0,3.0,8993.0,10105.0,100.0,0.01,-0.01
2017-01-10,0.93,0.93,0.85,0.85,0.88,155.0,2.0,136.0,155.0,100.0,0.08,-0.08
2017-01-09,0.89,0.89,0.89,0.89,0.88,60.0,1.0,53.0,60.0,100.0,0.0,0.0
2017-01-06,0.9,0.9,0.89,0.89,0.89,580.0,2.0,517.0,580.0,100.0,0.01,-0.01
2017-01-05,0.86,0.86,0.86,0.86,0.85,110.0,1.0,94.0,110.0,100.0,0.0,0.0
2017-01-04,0.84,0.84,0.82,0.82,0.83,705.0,4.0,588.0,705.0,100.0,0.02,-0.02
2017-01-03,0.79,0.8,0.79,0.8,0.79,5865.0,7.0,4656.0,5865.0,100.0,0.01,0.01
2017-01-02,0.77,0.77,0.77,0.77,0.77,400.0,4.0,308.0,400.0,100.0,0.0,0.0
2016-12-30,0.75,0.75,0.75,0.75,0.75,300.0,1.0,225.0,300.0,100.0,0.0,0.0
2016-12-29,0.7,0.76,0.7,0.76,0.7,1152.0,2.0,806.0,1152.0,100.0,0.06,0.06
2016-12-27,0.73,0.73,0.73,0.73,0.73,1200.0,1.0,876.0,1200.0,100.0,0.0,0.0
