Hour Index,Sessions
0,1418159421
1,1113769116
2,919158921
3,822352824
4,735526737
5,798400800
6,895206897
7,1246503249
8,1355285358
9,1836321840
10,2435122440
11,2925140931
12,3321347328
13,3266457273
14,3869249877
15,3772443780
16,3701585709
17,3653681661
18,3480029487
19,3783421791
20,3806375814
21,3212565219
22,3012965019
23,3007975014
24,2532926538
25,2117758122
26,1775443779
27,1396203399
28,1150695153
29,1159677162
30,1416163419
31,1772449776
32,2063866068
33,2357278362
34,2974042980
35,3846295854
36,3630727638
37,3298393305
38,3475039482
39,3413163420
40,3071847078
41,3003983010
42,3028933035
43,2388216393
44,3119751126
45,2833324839
46,2424144429
47,2579832585
48,2257478262
49,1890213894
50,1664665668
51,1275445278
52,1051893054
53,1044907047
54,1150695153
55,1500993504
56,1691611695
57,2081830086
58,2642706648
59,3680627688
60,3523941531
61,3053883060
62,3463063470
63,3274441281
64,3149691156
65,2983024989
66,3002985009
67,3152685159
68,2971048977
69,2636718642
70,2554882560
71,2395202400
72,2108776113
73,1759475763
74,1375245378
75,1006983009
76,929138931
77,855286857
78,1022951025
79,1300395303
80,1502989506
81,1868257872
82,2600790606
83,3160669167
84,3548891556
85,2954082960
86,3234521241
87,3254481261
88,2835320841
89,2915160921
90,2859272865
91,2764462770
92,2481030486
93,2287418292
94,2131730136
95,2000992005
96,1675643679
97,1322351325
98,1122751125
99,940116942
100,770456772
101,848300850
102,970056972
103,1341313344
104,1521951525
105,1985023989
106,2710570716
107,3103783110
108,3160669167
109,2809372815
110,3081827088
111,3011967018
112,2726538732
113,2556878562
114,2644702650
115,2429134434
116,2188616193
117,2143706148
118,2047898052
119,1860273864
120,1640713644
121,1290415293
122,1118759121
123,902192904
124,723550725
125,654688656
126,736524738
127,879238881
128,1045905048
129,1247501250
130,1425145428
131,1595803599
132,1661671665
133,1450095453
134,1531931535
135,1376243379
136,1338319341
137,1357281360
138,1390215393
139,1642709646
140,1622749626
141,1429137432
142,1340315343
143,1492011495
144,1313369316
145,990016992
146,914168916
147,851294853
148,683630685
149,692612694
150,756484758
151,940116942
152,1252491255
153,1351293354
154,1315365318
155,1481033484
156,1585823589
157,1515963519
158,1402191405
159,1380235383
160,1492011495
161,1618757622
162,1631731635
163,1732529736
164,1797399801
165,1712569716
166,1721551725
167,1650693654
168,1427141430
169,1185625188
170,1002991005
171,888220890
172,803390805
173,845306847
174,1154687157
175,1302391305
176,1569855573
177,1968057972
178,2751488757
179,3262465269
180,3543901551
181,3073843080
182,3430129437
183,3324341331
184,3082825089
185,3029931036
186,3197595204
187,3268453275
188,3111767118
189,2743504749
190,2649692655
191,2474044479
192,2188616193
